SizeOfArr; Comparisons; Swaps
       10;          45;    14
       20;         190;    89
       30;         435;   205
       40;         780;   384
       50;        1225;   534
       60;        1770;  1006
       70;        2415;  1233
       80;        3160;  1547
       90;        4005;  1985
      100;        4950;  2446
      110;        5995;  3091
      120;        7140;  3346
      130;        8385;  4087
      140;        9730;  4807
      150;       11175;  5383
      160;       12720;  6415
      170;       14365;  7002
      180;       16110;  8441
      190;       17955;  9567
      200;       19900; 10263
      210;       21945; 10936
      220;       24090; 11700
      230;       26335; 13399
      240;       28680; 13919
      250;       31125; 14430
      260;       33670; 17074
      270;       36315; 18398
      280;       39060; 19759
      290;       41905; 21875
      300;       44850; 23008
      310;       47895; 24586
      320;       51040; 27516
      330;       54285; 27832
      340;       57630; 27301
      350;       61075; 29469
      360;       64620; 32513
      370;       68265; 32873
      380;       72010; 37121
      390;       75855; 37500
      400;       79800; 40922
      410;       83845; 43678
      420;       87990; 45784
      430;       92235; 45543
      440;       96580; 48187
      450;      101025; 49526
      460;      105570; 51174
      470;      110215; 57011
      480;      114960; 55035
      490;      119805; 55500
      500;      124750; 62940
      510;      129795; 64371
      520;      134940; 68034
      530;      140185; 68598
      540;      145530; 71217
      550;      150975; 78926
      560;      156520; 76496
      570;      162165; 78908
      580;      167910; 84391
      590;      173755; 88893
      600;      179700; 86924
      610;      185745; 90014
      620;      191890; 95323
      630;      198135; 101990
      640;      204480; 100611
      650;      210925; 106799
      660;      217470; 106272
      670;      224115; 116056
      680;      230860; 112153
      690;      237705; 116685
      700;      244650; 121132
      710;      251695; 122417
      720;      258840; 124174
      730;      266085; 132550
      740;      273430; 135256
      750;      280875; 137618
      760;      288420; 144112
      770;      296065; 146210
      780;      303810; 161020
      790;      311655; 157470
      800;      319600; 154642
      810;      327645; 160155
      820;      335790; 171715
      830;      344035; 165144
      840;      352380; 169774
      850;      360825; 178916
      860;      369370; 173522
      870;      378015; 190310
      880;      386760; 199127
      890;      395605; 195654
      900;      404550; 203112
      910;      413595; 207223
      920;      422740; 216210
      930;      431985; 211429
      940;      441330; 217187
      950;      450775; 222589
      960;      460320; 236869
      970;      469965; 221699
      980;      479710; 243496
      990;      489555; 244297
     1000;      499500; 247737

